編號,車位類別,車位價格,車位面積平方公尺
RPSQMLNJNHLFFAH38CA,坡道平面,0,32.03
RPSQMLNJNHLFFAH38CA,坡道平面,0,32.03
RPTQMLNJNHLFFAH48CA,坡道平面,0,28.05
RPWNMLKKNHLFFAH28CA,坡道平面,0,
RPWSMLKKNHLFFAH78CA,坡道平面,0,33.87
RPWSMLKKNHLFFAH78CA,坡道平面,0,33.87
RPWPMLMKNHLFFAH68CA,升降機械,0,
RPSSMLMKNHLFFAH58CA,坡道平面,0,31.42
RPVRMLNKNHLFFAH88CA,坡道平面,0,28.90
RPXRMLNKNHLFFAH09CA,坡道平面,0,28.90
RPOPMLQKNHLFFAH28CA,坡道平面,0,
RPXVMLRKNHLFFAH27CA,坡道平面,930000,36.39
RPOWMLRKNHLFFAH09CA,坡道平面,870000,36.39
RPQRNLRKNHLFFAH88CA,坡道平面,860000,31.51
RPRRNLRKNHLFFAH98CA,坡道平面,790000,31.51
RPSRNLRKNHLFFAH09CA,坡道平面,930000,36.39
RPTRNLRKNHLFFAH56CA,坡道平面,870000,36.39
RPVRNLRKNHLFFAH76CA,坡道平面,930000,36.39
RPWRNLRKNHLFFAH86CA,坡道平面,870000,36.39
RPWRNLRKNHLFFAH86CA,坡道平面,930000,36.39
RPXRNLRKNHLFFAH96CA,坡道平面,930000,36.39
RPOSNLRKNHLFFAH78CA,坡道平面,930000,36.39
RPPSNLRKNHLFFAH88CA,坡道平面,870000,36.39
RPRSNLRKNHLFFAH09CA,坡道平面,870000,36.39
RPSSNLRKNHLFFAH56CA,坡道平面,930000,36.39
RPTSNLRKNHLFFAH66CA,坡道平面,1000000,36.39
RPUSNLRKNHLFFAH76CA,坡道平面,870000,36.39
RPUSNLRKNHLFFAH76CA,坡道平面,790000,31.51
RPVSNLRKNHLFFAH86CA,坡道平面,920000,31.51
RPWSNLRKNHLFFAH96CA,坡道平面,1000000,36.39
RPWSNLRKNHLFFAH96CA,坡道平面,920000,31.51
RPXSNLRKNHLFFAH07CA,坡道平面,930000,36.39
RPOTNLRKNHLFFAH88CA,坡道平面,790000,31.51
RPQTNLRKNHLFFAH09CA,坡道平面,930000,36.39
RPUTNLRKNHLFFAH86CA,坡道平面,1000000,36.39
RPVTNLRKNHLFFAH96CA,坡道平面,930000,36.39
RPWTNLRKNHLFFAH07CA,坡道平面,860000,31.51
RPXTNLRKNHLFFAH17CA,坡道平面,870000,36.39
RPOUNLRKNHLFFAH98CA,坡道平面,1000000,36.39
RPRUNLRKNHLFFAH66CA,坡道平面,930000,36.39
RPSUNLRKNHLFFAH76CA,坡道平面,930000,36.39
RPTUNLRKNHLFFAH86CA,坡道平面,870000,36.39
RPUUNLRKNHLFFAH96CA,坡道平面,920000,31.51
RPVUNLRKNHLFFAH07CA,坡道平面,870000,36.39
RPOOMLRKNHLFFAH28CA,坡道平面,0,
RPUSOLQKNHLFFAH76CA,坡道機械,0,32.77
RPXUNLRKNHLFFAH27CA,坡道平面,930000,36.39
RPOVNLRKNHLFFAH09CA,坡道平面,920000,31.51
RPPVNLRKNHLFFAH56CA,坡道平面,860000,31.51
RPQVNLRKNHLFFAH66CA,坡道平面,870000,36.39
RPRVNLRKNHLFFAH76CA,坡道平面,930000,36.39
RPSVNLRKNHLFFAH86CA,坡道平面,870000,36.39
RPTVNLRKNHLFFAH96CA,坡道平面,860000,31.51
RPVVNLRKNHLFFAH17CA,坡道平面,860000,31.51
RPWVNLRKNHLFFAH27CA,坡道平面,870000,36.39
RPXVNLRKNHLFFAH37CA,坡道平面,870000,36.39
