編號,車位類別,車位價格,車位面積平方公尺
RPVQMLOJNHLFFAB18CA,坡道機械,0,
RPRNMLPJNHLFFAB57CA,坡道平面,0,
RPPOMLPJNHLFFAB47CA,坡道平面,0,29.77
RPRPMLPJNHLFFAB77CA,坡道機械,0,
RPROMLQJNHLFFAB77CA,坡道平面,0,17.06
RPROMLQJNHLFFAB77CA,坡道平面,0,17.06
RPWOMLKKNHLFFAB77CA,坡道機械,0,13.21
RPWOMLKKNHLFFAB77CA,坡道機械,0,13.21
RPPNMLOKNHLFFAB37CA,坡道平面,1000000,68.97
SPPNMLOKNHLFFAB47CA,坡道平面,680000,29.69
TPPNMLOKNHLFFAB57CA,坡道平面,680000,29.69
UPPNMLOKNHLFFAB67CA,坡道平面,730000,32.57
VPPNMLOKNHLFFAB77CA,坡道平面,0,29.69
VPPNMLOKNHLFFAB77CA,坡道平面,0,29.69
WPPNMLOKNHLFFAB87CA,坡道平面,720000,29.69
RPQNMLOKNHLFFAB47CA,坡道平面,0,27.17
RPQNMLOKNHLFFAB47CA,坡道平面,0,27.17
SPQNMLOKNHLFFAB57CA,坡道平面,680000,27.17
TPQNMLOKNHLFFAB67CA,坡道平面,700000,27.17
UPQNMLOKNHLFFAB77CA,坡道平面,670000,27.17
VPQNMLOKNHLFFAB87CA,坡道平面,750000,31.20
WPQNMLOKNHLFFAB97CA,坡道平面,710000,27.17
XPQNMLOKNHLFFAB08CA,坡道平面,690000,27.17
YPQNMLOKNHLFFAB18CA,坡道平面,680000,27.17
ZPQNMLOKNHLFFAB28CA,坡道平面,0,27.17
ZPQNMLOKNHLFFAB28CA,坡道平面,0,27.17
QQQNMLOKNHLFFAB47CA,坡道平面,700000,27.17
RQQNMLOKNHLFFAB57CA,坡道平面,650000,27.17
SQQNMLOKNHLFFAB67CA,坡道平面,650000,27.17
TQQNMLOKNHLFFAB77CA,坡道平面,650000,31.20
UQQNMLOKNHLFFAB87CA,坡道平面,1000000,51.32
VQQNMLOKNHLFFAB97CA,坡道平面,680000,27.17
WQQNMLOKNHLFFAB08CA,坡道平面,750000,31.20
XQQNMLOKNHLFFAB18CA,坡道平面,760000,31.20
YQQNMLOKNHLFFAB28CA,坡道平面,760000,31.20
RPUOMLRKNHLFFAB28CA,坡道平面,0,33.41
RPQNMLTKNHLFFAB97CA,坡道平面,1350000,33.85
RPPPMLKLNHLFFAB27CA,升降機械,0,
RPOOMLPLNHLFFAB57CA,坡道機械,0,
RPQOMLMJNHLFFBB37CA,坡道平面,0,28.67
RPQOMLMJNHLFFBB37CA,坡道平面,0,28.67
RPSOMLMJNHLFFBB57CA,坡道平面,0,28.67
RPSOMLMJNHLFFBB57CA,坡道平面,0,28.67
SPSOMLMJNHLFFBB67CA,坡道平面,0,28.67
SPSOMLMJNHLFFBB67CA,坡道平面,0,28.67
SPSOMLMJNHLFFBB67CA,坡道平面,0,28.67
RPPVMLPJNHLFFBB28CA,坡道機械,0,3.90
RPUPMLQJNHLFFBB28CA,坡道平面,0,
RPTOMLKKNHLFFBB57CA,坡道平面,0,
RPRQNLKKNHLFFBB67CA,坡道機械,0,15.63
RPOOMLQKNHLFFBB67CA,坡道平面,1450000,33.82
RPPOMLQKNHLFFBB77CA,坡道平面,1450000,33.82
RPTOMLQKNHLFFBB18CA,坡道平面,1450000,33.82
RPTPMLNLNHLFFBB08CA,坡道平面,0,32.97
RPTPMLNLNHLFFBB08CA,坡道平面,0,32.97
RPUPMLNLNHLFFBB18CA,坡道平面,0,32.97
RPUPMLNLNHLFFBB18CA,坡道平面,0,32.97
RPUPMLNLNHLFFBB18CA,坡道平面,0,32.97
RPRPMLPLNHLFFBB08CA,坡道平面,0,42.99
RPTPMLPLNHLFFBB28CA,升降機械,0,19.58
RPROMLMJNHLFFCB57CA,一樓平面,0,
RPQNMLNJNHLFFCB47CA,坡道機械,0,
RPPOMLNJNHLFFCB47CA,坡道平面,1400000,26.98
RPPOMLNJNHLFFCB47CA,坡道平面,1400000,26.98
RPQOMLNJNHLFFCB57CA,坡道平面,0,
RPWOMLNJNHLFFCB18CA,坡道機械,0,16.21
RPTPMLNJNHLFFCB97CA,坡道平面,0,
RPTPMLNJNHLFFCB97CA,坡道平面,0,
RPXPMLNJNHLFFCB38CA,坡道平面,0,26.14
