編號,車位類別,車位價格,車位面積平方公尺
RPVNMLPJNHLFFBC18CA,坡道平面,400000,43.43
RPVNMLPJNHLFFBC18CA,坡道平面,400000,43.43
RPWNMLPJNHLFFBC28CA,坡道平面,400000,34.99
RPWNMLPJNHLFFBC28CA,坡道平面,400000,34.99
RPWNMLPJNHLFFBC28CA,坡道平面,400000,34.99
RPWNMLPJNHLFFBC28CA,坡道平面,400000,34.99
RPWNMLPJNHLFFBC28CA,坡道平面,400000,34.99
RPWNMLPJNHLFFBC28CA,坡道平面,400000,34.99
RPXNMLPJNHLFFBC38CA,坡道平面,400000,45.95
RPOOMLPJNHLFFBC57CA,坡道平面,400000,45.95
RPPNMLSJNHLFFBC87CA,坡道平面,0,
RPTPMLOJNHLFFCC18CA,坡道平面,0,
RPTPMLOJNHLFFCC18CA,坡道平面,0,
RPSQMLQJNHLFFCC58EA,一樓平面,0,
RPQNMLQKNHLFFCC18EA,坡道平面,0,
RPVNMLOLNHLFFCC58EA,坡道平面,650000,36.77
RPPNMLRKNHLFFCC97CA,坡道平面,0,
RPUNMLNLNHLFFCC18CA,坡道平面,0,
RPQOMLKMNHLFFCC67CA,坡道平面,1100000,15.87
RPVOMLKMNHLFFCC18CA,坡道平面,900000,13.47
RPVOMLKMNHLFFCC18CA,坡道平面,900000,13.47
RPWOMLKMNHLFFCC28CA,坡道平面,0,15.87
RPXOMLKMNHLFFCC38CA,坡道平面,0,15.87
RPPPMLKMNHLFFCC67CA,坡道平面,1000000,15.87
RPQPMLKMNHLFFCC77CA,坡道平面,900000,15.87
RPRPMLKMNHLFFCC87CA,坡道平面,1000000,15.87
RPSPMLKMNHLFFCC97CA,坡道平面,0,13.47
RPTPMLKMNHLFFCC08CA,坡道平面,1100000,15.87
RPVPMLKMNHLFFCC28CA,坡道平面,1000000,15.87
RPPQMLKMNHLFFCC77CA,坡道平面,1100000,15.87
RPPQMLKMNHLFFCC77CA,坡道平面,1100000,15.87
RPQQMLKMNHLFFCC87CA,坡道平面,1000000,15.87
RPRQMLKMNHLFFCC97CA,坡道平面,1000000,15.87
RPSQMLKMNHLFFCC08CA,坡道平面,1000000,15.87
RPTQMLKMNHLFFCC18CA,坡道平面,900000,13.47
RPUQMLKMNHLFFCC28CA,坡道平面,0,15.87
RPVQMLKMNHLFFCC38CA,坡道平面,1000000,15.87
RPWQMLKMNHLFFCC48CA,坡道平面,1100000,15.87
RPXQMLKMNHLFFCC58CA,坡道平面,1100000,15.87
RPORMLKMNHLFFCC77CA,坡道平面,1100000,15.87
RPUNMLLMNHLFFCC08CA,坡道平面,1100000,15.87
RPVNMLLMNHLFFCC18CA,坡道平面,1100000,15.87
RPVNMLLMNHLFFCC18CA,坡道平面,1100000,15.87
RPVNMLOJNHLFFBC08CA,坡道平面,0,
RPXNMLLMNHLFFCC38CA,坡道平面,1000000,33.29
RPXNMLLMNHLFFCC38CA,坡道平面,1000000,33.29
RPSOMLLMNHLFFCC97CA,坡道平面,900000,13.47
RPUOMLLMNHLFFCC18CA,坡道平面,1000000,15.87
RPWOMLLMNHLFFCC38CA,坡道平面,0,13.47
RPOPMLLMNHLFFCC67CA,坡道平面,1000000,15.87
RPRPMLLMNHLFFCC97CA,坡道平面,1000000,15.87
RPUPMLLMNHLFFCC28CA,坡道平面,900000,13.47
RPWPMLLMNHLFFCC48CA,坡道平面,1000000,15.87
RPXPMLLMNHLFFCC58CA,坡道平面,0,13.47
RPPOMLKKNHLFFCC37CA,坡道機械,0,
RPPOMLKKNHLFFCC37CA,坡道機械,0,
RPTNMLLJOHLFFCC77CA,坡道平面,1000000,13.47
RPVNMLLJOHLFFCC97CA,坡道平面,900000,13.47
RPWNMLLJOHLFFCC08CA,坡道平面,900000,13.47
RPQOMLLJOHLFFCC57CA,坡道平面,1000000,15.87
RPTOMLLJOHLFFCC87CA,坡道平面,900000,15.87
RPTNMLMJOHLFFCC87CA,坡道平面,1100000,15.87
RPUNMLMJOHLFFCC97CA,坡道平面,0,13.47
RPWNMLMJOHLFFCC18CA,坡道平面,900000,13.47
RPXNMLMJOHLFFCC28CA,坡道平面,900000,15.87
RPXNMLMJOHLFFCC28CA,坡道平面,900000,15.87
RPQOMLMJOHLFFCC67CA,坡道平面,1100000,15.87
RPQOMLMJOHLFFCC67CA,坡道平面,1100000,15.87
RPTOMLMJOHLFFCC97CA,坡道平面,1000000,15.87
RPVOMLMJOHLFFCC18CA,坡道平面,1000000,15.87
