編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPWNMLKMJIMFFBK68CA,坡道平面,0,13.03
RPXNMLKMJIMFFBK78CA,坡道平面,0,13.05
RPPNMLOKJIMFFDK48DA,坡道機械,0,
RPROMLSJKIMFFDK09CA,坡道平面,800000,16.35
RPQNMLPKJIMFFDK58CA,坡道機械,0,
RPQNMLRKJIMFFFK98CA,坡道平面,0,
RPROMLRKJIMFFFK56CA,坡道平面,0,30.12
RPROMLRKJIMFFFK56CA,坡道平面,0,30.12
RPQNMLQLJIMFFFK98CA,坡道平面,0,
RPWNMLQKJIMFFFK86CA,坡道平面,0,35.50
RPXOMLTLJIMFFFK47CA,坡道平面,980000,31.17
RPUOMLTLJIMFFFK17CA,坡道平面,980000,31.17
RPTNMLKMJIMFFFK78CA,坡道平面,0,28.42
RPPPMLTLJIMFFFK76CA,坡道平面,1060000,31.17
RPRNMLMLJIMFFDK48CA,坡道平面,800000,
RPTNMLMLJIMFFDK68CA,坡道平面,800000,
RPUNMLMLJIMFFDK78CA,坡道平面,800000,
RPXNMLMLJIMFFDK09CA,坡道平面,900000,
RPPOMLMLJIMFFDK38CA,坡道平面,900000,
RPOOMLMLJIMFFDK28CA,坡道平面,800000,
RPPNMLNLJIMFFDK38CA,坡道平面,900000,
RPQNMLNLJIMFFDK48CA,坡道平面,800000,
RPSNMLNLJIMFFDK68CA,坡道平面,800000,
RPVOMLRKJIMFFDK76CA,坡道平面,0,21.02
RPSOMLRKJIMFFDK09CA,坡道平面,0,21.02
RPTOMLRKJIMFFDK56CA,坡道平面,0,21.02
RPUOMLRKJIMFFDK66CA,坡道平面,0,21.02
RPWOMLRKJIMFFDK86CA,坡道平面,0,21.02
RPROMLRKJIMFFDK98CA,坡道平面,0,21.02
RPQOMLRKJIMFFDK88CA,坡道平面,0,21.00
RPPNMLKLJIMFFDK08CA,坡道平面,900000,34.72
RPQNMLKLJIMFFDK18CA,坡道平面,900000,34.72
RPRNMLKLJIMFFDK28CA,坡道平面,900000,34.72
RPUNMLLLJIMFFDK68CA,坡道機械,0,6.62
RPUNMLKLJIMFFDK58CA,坡道平面,950000,34.72
RPSNMLKLJIMFFDK38CA,坡道平面,900000,34.72
RPTNMLNLJIMFFDK78CA,坡道平面,800000,
RPTNMLNLJIMFFDK78CA,坡道平面,800000,
RPTNMLKLJIMFFDK48CA,坡道平面,900000,34.72
RPQNMLOLJIMFFDK58CA,坡道平面,800000,
RPRNMLOLJIMFFDK68CA,坡道平面,800000,
RPPNMLOLJIMFFDK48CA,坡道平面,900000,
RPWNMLNLJIMFFDK09CA,坡道平面,0,15.84
