編號,車位類別,車位價格,車位面積平方公尺
RPXNMLMJKHMFFGE78CC,坡道機械,0,7.09
RPSNMLNJKHMFFBE87CC,坡道平面,0,
RPSNMLNJKHMFFBE87CC,坡道平面,0,
RPQNMLNJKHMFFAE57CC,坡道機械,0,
RPRNMLOJKHMFFBE87CC,坡道平面,1700,12.66
RPSNMLOJKHMFFBE97CC,坡道平面,2000,14.64
RPTNMLOJKHMFFBE08CC,坡道平面,1800,14.64
RPTNMLRJKHMFFAE28CC,坡道平面,0,20.20
RPTOMLSJKHMFFEE88CC,坡道平面,0,22.88
RPVOMLSJKHMFFEE09CC,坡道平面,0,16.89
RPVOMLSJKHMFFEE09CC,坡道平面,0,16.89
RPRNMLTJKHMFFCE48CC,坡道平面,0,16.32
RPRNMLTJKHMFFCE48CC,坡道平面,0,16.32
RPVNMLTJKHMFFCE88CC,坡道平面,0,41.03
RPSOMLTJKHMFFEE88CC,坡道平面,0,24.86
RPTNMLTJKHMFFDE78CC,坡道平面,0,28.02
RPUNMLTJKHMFFDE88CC,坡道平面,0,29.10
RPRNMLTJKHMFFBE38CC,坡道平面,0,19.72
RPXNMLTJKHMFFAE88CC,坡道機械,0,11.97
RPWNMLKKKHMFFAE97CC,坡道平面,0,
RPROMLKKKHMFFDE87CC,坡道平面,2600,31.85
RPOOMLPKKHMFFDE08CC,坡道平面,0,
RPTNMLPKKHMFFBE28CC,坡道平面,1700,12.66
RPVNMLPKKHMFFBE48CC,坡道平面,1500,12.66
RPPOMLQKKHMFFFE48CC,坡道平面,0,
RPXNMLQKKHMFFAE68CC,坡道平面,0,
RPROMLQKKHMFFDE48CC,坡道平面,0,21.89
RPROMLRKKHMFFEE68CC,坡道平面,0,29.27
RPUNMLRKKHMFFAE48CC,坡道機械,0,7.13
RPUNMLSKKHMFFCE78CC,坡道平面,0,24.18
RPVOMLSKKHMFFBE88CC,坡道平面,0,19.72
RPXNMLSKKHMFFDE56CC,坡道平面,0,25.92
RPSOMLSKKHMFFEE88CC,坡道平面,0,18.17
RPSNMLKLKHMFFFE18CC,其他,0,59.57
RPUOMLMLKHMFFBE28CC,坡道機械,0,
RPUOMLMLKHMFFBE28CC,坡道機械,0,
RPWNMLMLKHMFFAE28CC,坡道平面,0,18.45
RPQPMLMLKHMFFCE08CC,坡道平面,0,
RPQQMLOLKHMFFEE58CC,坡道平面,0,20.02
RPQQMLOLKHMFFEE58CC,坡道平面,0,20.02
RPPPMLOLKHMFFBE08CC,坡道機械,0,
RPQNMLPLKHMFFEE38CC,坡道平面,0,36.19
RPTNMLLJLHMFFDE08CC,坡道機械,0,9.31
RPQNMLLJLHMFFAE47CC,坡道平面,0,17.14
RPXNMLMJLHMFFBE38CC,坡道平面,1500,14.64
RPQOMLMJLHMFFAE67CC,坡道機械,0,5.61
RPRNMLOJLHMFFGE48CC,坡道平面,0,13.97
RPSNMLOJLHMFFCE18CC,坡道機械,0,8.68
RPTNMLOJLHMFFCE28CC,坡道平面,0,21.96
RPRNMLOJLHMFFAE87CC,坡道平面,0,31.99
RPPNMLOJLHMFFEE08CC,坡道平面,0,29.75
RPTPMLQJLHMFFDE78CC,坡道平面,0,
RPOPMLQJLHMFFAE97CC,坡道平面,0,23.97
RPQNMLRJLHMFFGE68CC,升降機械,0,15.66
RPXNMLTJLHMFFCE56CC,坡道機械,0,12.64
RPVPMLKKLHMFFCE38CC,坡道平面,0,23.86
RPVPMLKKLHMFFCE38CC,坡道平面,0,23.86
RPXNMLKKLHMFFIE98CC,坡道平面,0,41.29
RPXNMLKKLHMFFIE98CC,坡道平面,0,41.29
RPROMLKKLHMFFIE48CC,坡道平面,0,20.23
RPTOMLNKLHMFFEE58CC,坡道平面,0,22.63
RPROMLNKLHMFFCE18CC,坡道平面,0,
RPPNMLOKLHMFFAE77CC,坡道機械,0,
RPXNMLPKLHMFFBE78CC,坡道平面,1700,12.66
RPQOMLPKLHMFFBE18CC,坡道平面,1600,13.32
RPXNMLQKLHMFFCE98CC,坡道平面,0,24.17
RPTNMLQKLHMFFBE48CC,坡道平面,0,
RPTNMLQKLHMFFBE48CC,坡道平面,0,
RPTNMLQKLHMFFBE48CC,坡道平面,0,
RPXNMLQKLHMFFBE88CC,坡道機械,0,
RPXNMLQKLHMFFBE88CC,坡道機械,0,
RPPOMLRKLHMFFBE28CC,坡道機械,0,14.89
RPTNMLRKLHMFFAE48CC,坡道平面,0,18.05
RPROMLRKLHMFFAE38CC,坡道平面,0,26.86
RPTOMLRKLHMFFAE58CC,坡道平面,0,41.16
RPUOMLRKLHMFFAE68CC,坡道平面,0,18.77
RPVOMLRKLHMFFAE78CC,坡道平面,0,16.66
RPOPMLRKLHMFFAE18CC,坡道平面,0,23.12
RPQOMLRKLHMFFCE48CC,坡道平面,0,
RPSNMLRKLHMFFIE56CC,坡道平面,0,28.12
RPSNMLRKLHMFFIE56CC,坡道平面,0,28.12
RPPNMLSKLHMFFBE28CC,坡道平面,0,20.63
RPPNMLSKLHMFFBE28CC,坡道平面,0,18.75
RPTNMLSKLHMFFEE98CC,坡道平面,0,25.26
RPOOMLKLLHMFFDE77CC,坡道機械,0,35.59
RPSOMLKLLHMFFFE38CC,一樓平面,0,
RPSNMLLLLHMFFGE48CC,坡道平面,0,12.46
RPPNMLLLLHMFFAE57CC,坡道平面,0,
RPTNMLMLLHMFFBE18CC,坡道平面,0,
RPTNMLMLLHMFFBE18CC,坡道平面,0,
