編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLNKJHNFFCC37CA,工建段,15.70,都市：住
RPPNMLOKJHNFFBC37CA,延平段,26.82,都市：住
RPXOMLNLJHNFFBC28CA,培德段,23.64,都市：住
RPRNMLQKJHNFFBC77CA,祥豐段,5.27,都市：商
RPRNMLQKJHNFFBC77CA,祥豐段,.71,都市：其他
RPWNMLRKJHNFFBC38CA,培德段,18.94,都市：住
RPRNMLQKJHNFFCC87CA,大武崙段內寮小段,144.85,都市：其他
RPQNMLNLJHNFFCC57CA,德安段,2.20,都市：住
RPQNMLNLJHNFFCC57CA,德安段,4.30,都市：住
RPQNMLNLJHNFFCC57CA,德安段,3.42,都市：住
RPQNMLKLJHNFFCC27CA,大華段,41.78,都市：住
RPQOMLSKJHNFFCC08CA,工建段,14.53,都市：商
RPPOMLTKJHNFFCC08CA,武嶺段,13.61,都市：其他
RPPOMLTKJHNFFCC08CA,武嶺段,.14,都市：其他
RPPOMLTKJHNFFCC08CA,武嶺段,.01,都市：其他
RPPOMLTKJHNFFCC08CA,武嶺段,4.76,都市：住
RPPNMLMKJHNFFCC47EA,西定段,45.00,都市：住
RPSNMLRKJHNFFBC08DA,和平段,18.25,都市：住
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,189.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,73.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,15.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,410.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,24.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,2.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,155.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,706.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,108.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,48.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,46.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,15.00,都市：工
RPPOMLQKJHNFFCC97EA,碇內段溪西股小段,517.00,都市：工
RPVNMLPKJHNFFCC18CA,源遠段,19.20,都市：商
RPROMLQKJHNFFCC18EA,源遠段,131.89,都市：其他
RPQNMLPLJHNFFCC77CA,武嶺段,.59,都市：住
RPQNMLPLJHNFFCC77CA,武嶺段,.01,都市：其他
RPQNMLPLJHNFFCC77CA,武嶺段,.00,都市：其他
RPQNMLPLJHNFFCC77CA,武嶺段,.21,都市：住
RPQNMLSKJHNFFCC08DA,長安段,27.34,都市：住
RPOOMLTJKHNFFCC97CA,源遠段,22.11,都市：住
RPQOMLQKJHNFFCC87CA,新會段,30.21,都市：住
RPPPMLNLJHNFFCC67CA,新城段,4.15,都市：住
