鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
龜山區,房地(土地+建物)+車位,公華段391~420地號,31.86,住,,,1040701,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.84,2,1,1,有,無,6960000,65619,坡道平面,36.25,950000,親友、員工或其他特殊關係間之交易。,RPUNMLTKRHMFFHH87EB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1050401,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6050000,40052,坡道平面,61.31,1100000,,RPQOMLRLRHMFFDH86CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1041101,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6250000,41670,坡道平面,61.31,1100000,,RPROMLRLRHMFFDH96CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1040101,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6380000,42722,坡道平面,61.31,1100000,,RPTOMLRLRHMFFDH17CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1040101,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6450000,43288,坡道平面,61.31,1100000,,RPUOMLRLRHMFFDH27CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1040101,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6550000,44097,坡道平面,61.31,1100000,,RPVOMLRLRHMFFDH37CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1040701,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6430000,43531,坡道平面,61.31,1050000,,RPWOMLRLRHMFFDH47CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1040401,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.82,3,1,2,有,無,6600000,44907,坡道平面,59.23,1050000,,RPOPMLRLRHMFFDH76CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1040401,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6400000,42479,坡道平面,61.31,1150000,,RPPPMLRLRHMFFDH86CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1041101,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6500000,43693,坡道平面,61.31,1100000,,RPQPMLRLRHMFFDH96CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1040301,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6620000,44259,坡道平面,61.31,1150000,,RPRPMLRLRHMFFDH07CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,22.32,商,,,1040401,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.59,3,1,2,有,無,5550000,44907,,0.0,0,,RPSPMLRLRHMFFDH17CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1041201,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6300000,41670,坡道平面,61.31,1150000,,RPUPMLRLRHMFFDH37CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,22.4,商,,,1041201,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.9,3,1,2,有,無,6230000,41913,坡道平面,61.31,1050000,,RPVPMLRLRHMFFDH47CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,19.07,商,,,1050501,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.43,2,1,1,有,無,5500000,42333,坡道平面,61.31,1050000,,RPWPMLRLRHMFFDH57CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,19.07,商,,,1040601,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.35,2,1,1,有,無,5500000,42808,坡道平面,59.23,1000000,,RPXPMLRLRHMFFDH67CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,19.07,商,,,1040101,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.43,2,1,1,有,無,5580000,43094,坡道平面,61.31,1050000,,RPPQMLRLRHMFFDH96CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,19.07,商,,,1050301,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.43,2,1,1,有,無,5400000,41381,坡道平面,61.31,1050000,,RPSQMLRLRHMFFDH27CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,18.99,商,,,1040401,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.12,2,1,1,有,無,5000000,47565,,0.0,0,,RPTQMLRLRHMFFDH37CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,19.07,商,,,1050401,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.43,2,1,1,有,無,5520000,42047,坡道平面,61.31,1100000,,RPUQMLRLRHMFFDH47CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,19.07,商,,,1040101,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.35,2,1,1,有,無,5820000,44901,坡道平面,59.23,1100000,,RPVQMLRLRHMFFDH57CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,18.99,商,,,1050401,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.12,2,1,1,有,無,4700000,44711,,0.0,0,,RPWQMLRLRHMFFDH67CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,19.07,商,,,1050801,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.43,2,1,1,有,無,5500000,42333,坡道平面,61.31,1050000,,RPORMLRLRHMFFDH96CB
楊梅區,房地(土地+建物)+車位,草湳坡段埔心小段31~60地號,19.07,商,,,1040101,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.43,2,1,1,有,無,5600000,43284,坡道平面,61.31,1050000,,RPPRMLRLRHMFFDH07CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1060301,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3650000,44242,,0.0,0,含裝潢38萬,RPQRMLRLRHMFFDH17CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1050501,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3300000,40000,,0.0,0,,RPRRMLRLRHMFFDH27CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1050501,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3400000,41212,,0.0,0,,RPURMLRLRHMFFDH57CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1040401,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3680000,44606,,0.0,0,,RPVRMLRLRHMFFDH67CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1050401,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3380000,40970,,0.0,0,,RPWRMLRLRHMFFDH77CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1040501,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3600000,43636,,0.0,0,,RPXRMLRLRHMFFDH87CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1060301,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3820000,46303,,0.0,0,含裝潢38萬,RPOSMLRLRHMFFDH07CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1060301,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3700000,44848,,0.0,0,含裝潢38萬,RPPSMLRLRHMFFDH17CB
楊梅區,房地(土地+建物),草湳坡段埔心小段31~60地號,14.83,商,,,1040101,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.5,2,1,1,有,無,3800000,46061,,0.0,0,,RPQSMLRLRHMFFDH27CB
