編號,車位類別,車位價格,車位面積平方公尺
RPSTMLNJNHIFFAH58CC,坡道平面,0,25.39
RPPUMLNJNHIFFAH38CC,坡道平面,0,
RPQNMLQJNHIFFCH28CC,坡道平面,0,40.33
RPROMLQJNHIFFBH48DC,坡道平面,0,
RPPNMLQJNHIFFAH08DC,坡道平面,0,
RPRRMLQJNHIFFAH58CC,坡道平面,0,31.88
RPUOMLRJNHIFFBH78CC,坡道平面,3000,
RPOPMLRJNHIFFFH68CC,坡道平面,0,31.47
RPWPMLRJNHIFFEH76CC,坡道平面,0,
RPOOMLSJNHIFFFH68CC,坡道平面,0,
RPRRMLSJNHIFFAH78CC,坡道平面,0,
RPWPMLTJNHIFFBH66CC,坡道平面,0,31.72
RPPNMLMKNHIFFEH18DC,坡道平面,0,
RPXRMLOKNHIFFBH66DC,坡道平面,0,
RPSOMLOKNHIFFAH38DC,坡道平面,0,
RPTPMLOKNHIFFCH68CC,坡道平面,0,36.44
RPQNMLPKNHIFFFH58CC,坡道平面,0,
RPUSMLQKNHIFFAH09CC,坡道機械,0,17.20
RPUOMLQKNHIFFFH56CC,坡道平面,0,31.32
RPUNMLLLNHIFFCH58EC,坡道平面,0,36.44
RPPPMLMLNHIFFBH08CC,坡道平面,0,34.62
RPOSMLMLNHIFFEH58CC,坡道平面,0,
RPTRMLNLNHIFFEH56DC,坡道平面,0,
RPTRMLNLNHIFFEH56DC,坡道平面,0,
RPTQMLSLNHIFFEH86CC,坡道平面,0,40.16
RPWSMLTLNHIFFAH07CC,坡道平面,1500,31.81
RPXSMLTLNHIFFAH17CC,坡道機械,0,11.02
RPRSMLOJOHIFFAH58CC,坡道平面,0,27.61
RPQTMLOJOHIFFAH58CC,坡道平面,0,36.70
RPSQMLOJOHIFFAH58DC,坡道平面,0,
RPVNMLOJOHIFFCH68CC,坡道平面,0,
RPQQMLOJOHIFFGH98DC,升降平面,2500,56.87
RPQPMLPJOHIFFAH38DC,坡道平面,0,35.12
RPVNMLQJOHIFFAH68CC,坡道平面,0,
RPOOMLQJOHIFFAH08CC,其他,0,
RPURMLRJOHIFFBH56CC,升降平面,0,
RPRSMLRJOHIFFAH88CC,坡道平面,0,20.49
RPRSMLRJOHIFFAH88CC,坡道平面,0,20.49
RPSSMLRJOHIFFAH98CC,坡道平面,0,
RPVNMLKKOHIFFAH18CC,升降機械,0,
RPSNMLKKOHIFFFH38CC,坡道平面,0,
RPPRMLLKOHIFFBH18CC,升降平面,0,
RPQNMLLKOHIFFAH77CC,坡道平面,0,32.82
RPSNMLLKOHIFFAH97CC,坡道平面,0,37.50
RPSOMLMKOHIFFBH28CC,升降機械,0,
RPXNMLOKOHIFFGH76CC,升降機械,0,
RPWPMLRKOHIFFAH56CC,坡道平面,0,
RPWOMLRKOHIFFEH07EC,坡道平面,0,10.32
RPWNMLSKOHIFFFH96CC,坡道機械,0,
RPWOMLTKOHIFFEH07CC,坡道平面,0,34.21
RPSPMLTKOHIFFEH76CC,坡道平面,0,41.00
RPQNMLKLOHIFFGH58EC,坡道平面,0,13.99
RPQNMLKLOHIFFGH58EC,坡道平面,0,13.99
RPQNMLKLOHIFFGH58EC,坡道平面,0,13.99
RPQNMLKLOHIFFFH48EC,坡道平面,0,
RPQNMLKLOHIFFCH18EC,坡道平面,0,
RPXNMLKLOHIFFDH98EC,一樓平面,0,
RPWPMLLLOHIFFAH68CC,坡道平面,0,
RPVPMLLLOHIFFBH78DC,坡道平面,0,34.61
RPPQMLOLOHIFFBH58DC,坡道平面,0,34.61
RPQQMLOLOHIFFBH68DC,坡道平面,0,27.96
RPOOMLPLOHIFFFH88EC,坡道平面,0,
RPSVMLQLOHIFFAH76CC,坡道平面,0,27.24
RPVRMLRLOHIFFAH76CC,坡道平面,0,25.03
RPRPMLSLOHIFFBH09DC,坡道平面,0,
RPPTMLLJPHIFFAH28CC,坡道平面,0,
RPQSMLNJPHIFFEH88CC,坡道平面,0,27.15
RPWWMLNJPHIFFBH96CC,坡道平面,0,
RPXRMLPJPHIFFBH76CC,坡道平面,0,
RPPOMLQJPHIFFAH38DC,坡道平面,0,
RPTNMLQJPHIFFEH98CC,坡道平面,0,
RPPOMLRJPHIFFAH38CC,坡道平面,0,29.52
RPVPMLSJPHIFFEH07DC,坡道平面,0,6.01
RPSNMLTJPHIFFAH78CC,坡道平面,0,35.80
RPRSMLLKPHIFFEH88CC,坡道平面,0,30.68
RPWQMLMKPHIFFBH98CC,坡道平面,0,32.59
RPROMLMKPHIFFAH18CC,坡道平面,0,
RPUOMLQKPHIFFAH88CC,坡道平面,0,28.29
RPXQMLQKPHIFFAH76CC,坡道平面,0,28.05
RPPRMLQKPHIFFAH68CC,坡道平面,0,28.05
RPQSMLQKPHIFFAH88CC,坡道機械,0,11.02
RPOOMLRKPHIFFEH78CC,坡道平面,0,33.42
RPROMLRKPHIFFEH09CC,坡道平面,0,24.97
RPPSMLSKPHIFFAH09DC,坡道平面,0,39.72
RPPPMLSKPHIFFAH68CC,坡道平面,0,
RPRTMLSKPHIFFAH66CC,升降機械,0,
RPPNMLLLPHIFFAH87CC,坡道平面,0,
RPSRMLMLPHIFFBH88DC,坡道平面,0,
RPQOMLMLPHIFFEH68DC,坡道平面,0,30.72
RPOQMLOLPHIFFEH78CC,坡道平面,0,26.27
RPTNMLOLPHIFFEH09DC,坡道平面,0,28.98
RPQNMLPLPHIFFFH88CC,坡道平面,0,
RPWQMLTLPHIFFEH47CC,坡道平面,0,20.23
RPUPMLTLPHIFFAH76CC,坡道平面,0,31.88
